graph,component,component,distance
complex-webapp-and-management-bundle-10.yml,cs:trusty/hdp-hadoop,cs:trusty/logstash-agent,1
complex-webapp-and-management-bundle-10.yml,cs:trusty/hdp-hadoop,cs:trusty/mysql,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/hdp-hadoop,cs:trusty/ganglia,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/hdp-hadoop,cs:trusty/kibana,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/hdp-hadoop,cs:trusty/elasticsearch,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/hdp-hadoop,cs:precise/logstash-indexer,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/hdp-hadoop,cs:precise/mongodb,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/hdp-hadoop,cs:trusty/rabbitmq-server,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/hdp-hadoop,cs:trusty/memcached,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/hdp-hadoop,cs:trusty/terracotta,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/hdp-hadoop,cs:trusty/postgresql,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/hdp-hadoop,cs:precise/redis-master,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/hdp-hadoop,cs:trusty/zend-server,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/hdp-hadoop,cs:trusty/tomcat,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/hdp-hadoop,cs:precise/node-app,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/hdp-hadoop,cs:trusty/python-django,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/hdp-hadoop,cs:precise/rails,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/hdp-hadoop,cs:trusty/haproxy,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/hdp-hadoop,cs:precise/openvpn-as,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/hdp-hadoop,cs:trusty/nagios,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/hdp-hadoop,cs:~vpalos/trusty/kafka,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/hdp-hadoop,cs:trusty/hdp-storm,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/hdp-hadoop,cs:trusty/hdp-zookeeper,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/ganglia-node,cs:trusty/ganglia-node,0
complex-webapp-and-management-bundle-10.yml,cs:trusty/ganglia-node,cs:trusty/nagios,1
complex-webapp-and-management-bundle-10.yml,cs:trusty/ganglia-node,cs:precise/openvpn-as,1
complex-webapp-and-management-bundle-10.yml,cs:trusty/ganglia-node,cs:precise/mongodb,1
complex-webapp-and-management-bundle-10.yml,cs:trusty/ganglia-node,cs:trusty/haproxy,1
complex-webapp-and-management-bundle-10.yml,cs:trusty/ganglia-node,cs:trusty/python-django,1
complex-webapp-and-management-bundle-10.yml,cs:trusty/ganglia-node,cs:trusty/memcached,1
complex-webapp-and-management-bundle-10.yml,cs:trusty/ganglia-node,cs:precise/rails,1
complex-webapp-and-management-bundle-10.yml,cs:trusty/ganglia-node,cs:precise/logstash-indexer,1
complex-webapp-and-management-bundle-10.yml,cs:trusty/ganglia-node,cs:trusty/kibana,1
